Y,Fz
-17.7132,0.09066000788
-17.1396,0.21537386079900003
-16.566,0.280279176
-15.9924,0.31897282548
-15.4189,0.34704187518
-14.8453,0.37002182589000004
-14.2717,0.39014990965
-13.6981,0.40852569006
-13.1245,0.425701848978
-12.5509,0.44199619392
-11.9773,0.45762584014400004
-11.4038,0.47269378382899996
-10.8302,0.48727648513599997
-10.2566,0.501451281315
-9.683,0.51522863711
-9.10941,0.52864504254
-8.53583,0.54170899215
-7.96224,0.5544357902479999
-7.38865,0.566831811382
-6.81507,0.57890821872
-6.24148,0.5906800429200001
-5.66789,0.6021875653200001
-5.09431,0.6135455202
-4.52072,0.62494133221
-3.94714,0.63832668724
-3.41383,0.5655168661700001
-2.92079,0.587621875
-2.42776,0.60968366
-1.93473,0.6307842952
-1.44169,0.65015852447
-0.948661,0.66685654467
-0.455628,0.67951367506
-0.104556,0.29124223948
0.104556,0.29124223948
0.455628,0.67951367506
0.948661,0.66685545126
1.44169,0.65015852447
1.93473,0.6307842952
2.42776,0.60968366
2.92079,0.587621875
3.41383,0.5655168661700001
3.94714,0.63832668724
4.52072,0.62494133221
5.09431,0.6135455202
5.66789,0.6021875653200001
6.24148,0.5906800429200001
6.81507,0.57890821872
7.38865,0.566831811382
7.96224,0.5544357902479999
8.53583,0.54170899215
9.10941,0.52864504254
9.683,0.51522863711
10.2566,0.501451281315
10.8302,0.48727648513599997
11.4038,0.47269378382899996
11.9773,0.45762584014400004
12.5509,0.44199619392
13.1245,0.425701848978
13.6981,0.40852569006
14.2717,0.39014990965
14.8453,0.37002182589000004
15.4189,0.34704187518
15.9924,0.31897282548
16.566,0.280279176
17.1396,0.21537386079900003
17.7132,0.09066000788
